Ticker,Name,Category,Weight,Volume
AAR,antennaArray,electronic devices,0.78,0.5
ABH,advancedBulkhead,construction prefabs,0.6,0.9
ACS,automatedCoolingSystem,electronic systems,0.3,0.2
ADE,advancedDeckElements,construction prefabs,0.4,1.5
ADR,autoDoc,medical equipment,0.1,0.1
ADS,audioDistributionSystem,electronic systems,0.7,2
AEF,aerostatFoundation,construction parts,2,5
AEN,advancedEngine,ship engines,14,7
AFP,advancedFuelPump,ship engines,1,0.25
AFR,advancedFuelRod,ship engines,0.4,0.1
AGS,advancedHighgSeats,ship parts,30,5
AHP,advancedHullPlate,ship parts,20,10
AIR,airScrubber,construction parts,1.7,3
AL,aluminium,metals,2.7,1
ALE,technicianLuxuryDrink,consumables (luxury),0.1,0.1
ALG,proteinAlgae,agricultural products,0.7,1
ALO,aluminiumOre,ores,1.35,1
AMM,ammonia,gases,0.86,1
ANZ,advancedNozzle,ship engines,6,3
APT,advancedHeatShield,ship shields,0.03,0.3
AR,argon,gases,1.784,1
ARP,advancedRadiationShielding,ship shields,0.04,0.2
ASE,advancedStructuralElements,construction prefabs,0.5,0.6
AST,aluminiumTitaniumAlloy,alloys,4.98,1
ATA,advancedWindow,construction prefabs,0.3,0.4
ATP,advancedThermalProtectionMaterial,ship parts,2.9,1
AU,gold,metals,19.32,1
AUO,goldOre,ores,3.86,1
AWF,waterFilter,electronic devices,0.8,1.2
AWH,advancedWhippleShielding,ship shields,0.12,1
BAC,bacteria,chemicals,0.15,0.15
BAI,basicAiFramework,software components,0.001,0.01
BBH,basicBulkhead,construction prefabs,0.5,0.8
BCO,copperConnectors,electronic pieces,0.005,0.002
BDE,basicDeckElements,construction prefabs,0.1,1.5
BE,beryllium,elements,1.84,1
BEA,proteinBeans,agricultural products,0.8,1
BER,beryl,minerals,1.92,1
BFP,basicFuelPump,ship engines,0.8,0.2
BFR,basicFuelRod,ship engines,0.3,0.1
BGC,blueGoldConnectors,electronic pieces,0.01,0.002
BGO,goldIronAlloy,alloys,19.32,1
BGS,basicHighgSeats,ship parts,20,3
BHP,basicHullPlate,ship parts,10,10
BID,fullBodyInteractionDevice,electronic devices,0.05,0.05
BL,breathableLiquid,chemicals,1.12,1
BLE,bleach,chemicals,0.5,0.5
BMF,mainFrameBlank,electronic devices,0.8,1.2
BND,bandages,medical equipment,0.001,0.005
BOR,boronCrystals,minerals,1.8,1
BOS,borosilicate,alloys,1.5,1
BPT,basicHeatShield,ship shields,0.02,0.3
BR1,commandBridge1,unit prefabs,180,300
BR2,commandBridge2,unit prefabs,280,400
BRM,bioreactiveMineral,minerals,2.5,1
BRO,copperAluminiumAlloy,alloys,8.73,1
BRP,basicRadiationShielding,ship shields,0.03,0.2
BRS,commandBridgeShort,unit prefabs,150,200
BSC,bodyScanner,electronic devices,0.1,0.1
BSE,basicStructuralElements,construction prefabs,0.3,0.5
BTA,basicWindow,construction prefabs,0.3,0.4
BTS,tungstenResource,liquids,1.05,1
BWH,basicWhippleShielding,ship shields,0.1,1
BWS,workstationBlank,electronic devices,0.05,0.1
C,carbon,elements,2.25,1
CA,calcium,elements,1.54,1
CAF,caffeinatedBeans,agricultural products,0.86,1
CAP,capacitor,electronic pieces,0.001,0.001
CBL,largeCapacitorBank,energy systems,5.4,2.4
CBM,mediumCapacitorBank,energy systems,3.6,1.6
CBS,smallCapacitorBank,energy systems,1.8,0.8
CC,climateController,electronic systems,0.5,1
CCD,crowdControlDrone,drones,0.3,0.05
CD,touchScreen,electronic parts,0.004,0.002
CF,ceramicFabric,textiles,2.82,1
CHA,combustionChamber,ship engines,1.2,0.7
CL,chlorine,elements,3.2,1
CLI,caliche,minerals,2.42,1
CMK,coreModuleKit,construction materials,4.56,33.2
COF,pioneerLuxuryDrink,consumables (luxury),0.1,0.1
COM,communicationSystem,electronic systems,0.5,1.5
COT,cottonProcessed,textiles,0.77,1
CQL,crewQuarters,unit prefabs,75,150
CQM,crewQuartersMed,unit prefabs,50,100
CQS,crewQuartersSmall,unit prefabs,25,50
CQT,crewQuartersTiny,unit prefabs,12.5,25
CRU,cryoUnit,electronic systems,2.2,2
CST,cryogenicFluid,chemicals,1.14,1
CTF,ceramicTungstenFabric,textiles,4.32,1
CU,copper,metals,8.92,1
CUO,copperOre,ores,4.01,1
DA,dataAnalyzer,software tools,0.001,0.01
DCH,droneChassis,drones,0.2,0.03
DCL,largeDeviceCover,plastics,0.08,0.8
DCM,mediumDeviceCover,plastics,0.04,0.4
DCS,smallDeviceCover,plastics,0.01,0.1
DD,distributedDatabase,software tools,0.001,0.01
DDT,pesticides,chemicals,0.11,0.1
DEC,decorativeElements,construction parts,0.5,2
DIS,twoDimensionalDisplay,electronic parts,0.02,0.02
DOU,droneOperationsUnit,unit prefabs,5,4
DRF,droneFrame,drones,0.1,0.02
DV,dataVisualizer,software tools,0.001,0.01
DW,drinkingWater,consumables (basic),0.1,0.1
EDC,entertainmentDataCore,software tools,0.001,0.01
EES,enrichedEinsteinium,chemicals,9.2,1
ENG,standardEngine,ship engines,8,4
EPO,epoxy,construction materials,0.04,0.02
ES,einsteinium,elements,0.88,0.1
ETC,enrichedTechnetium,chemicals,4.1,1
EXO,settlerClothing,consumables (basic),0.1,0.05
F,fluorine,gases,1.696,1
FAL,aluminiumIronAlloy,alloys,3.22,1
FAN,coolingFan,electronic parts,0.1,0.1
FC,flowControl,construction parts,0.5,0.25
FE,iron,metals,7.874,1
FEO,ironOre,ores,5.9,1
FET,ironTitaniumAlloy,alloys,6.85,1
FF,ftlFuel,fuels,0.05,0.01
FFC,ftlFieldController,electronic systems,50,16
FIM,engineerFood,consumables (basic),0.55,0.5
FIR,fissionReactor,ship engines,7,4.9
FLO,floatingTank,construction parts,1,2
FLP,fluidPiping,construction parts,0.3,2
FLX,flux,chemicals,0.25,0.1
FOD,allPurposeFodder,agricultural products,1.2,1
FSE,fuelSavingEngine,ship engines,6,3
FUN,entertainmentUnit,unit prefabs,5,4
GAL,galerite,minerals,2.51,1
GC,gasContainer,construction parts,0.05,0.1
GCH,glassCombustionChamber,ship engines,1,0.6
GEN,glassEngine,ship engines,5,3
GIN,engineerLuxuryDrink,consumables (luxury),0.1,0.1
GL,translucentMaterial,construction materials,0.016,0.01
GNZ,glassNozzle,ship engines,1.5,1
GRA,grapes,agricultural products,1.1,1
GRN,carbohydrateGrains,agricultural products,0.9,1
GV,gasVent,construction parts,0.25,0.15
H,hydrogen,gases,0.07,1
H2O,water,liquids,0.2,0.2
HAB,habitatUnit,unit prefabs,10,8
HAL,halite,minerals,2.17,1
HCC,redGoldConnectors,electronic pieces,0.01,0.002
HCP,hydrocarbonPlants,agricultural products,0.8,1
HD,holographicDisplay,electronic devices,0.05,2
HE,helium,gases,0.145,1
HE3,helium3,gases,0.145,1
HER,herbs,agricultural products,0.4,1
HEX,heliotropeExtract,liquids,1.1,1
HHP,hardenedHullPlate,ship parts,15,10
HMS,technicianClothing,consumables (basic),0.05,0.05
HNZ,hyperthrustNozzle,ship engines,6,12
HOG,holographicGlasses,electronic devices,0.01,0.01
HOP,antibacterialTreeFlowers,agricultural products,0.35,1
HPC,touchDeviceBlank,electronic devices,0.003,0.003
HPR,highPowerReactor,ship engines,18,15
HSE,hardenedStructuralElements,construction prefabs,3.1,0.7
HSS,engineerClothing,consumables (basic),0.05,0.05
HTE,hyperthrustEngine,ship engines,20,10
HYR,hyperPowerReactor,ship engines,35,25
I,iodine,elements,4.93,1
IDC,informationDataCore,software systems,0.001,0.01
IMM,informationManagementSystem,software systems,0.001,0.01
IND,indigo,chemicals,0.21,0.2
INS,insuFoam,construction materials,0.06,0.1
JUI,sedativeSubstance,chemicals,1.2,1
KOM,settlerLuxuryDrink,consumables (luxury),0.1,0.1
KV,kevlar,textiles,1.65,1
